tumour,subsite,setting,line,subgroup,trial,phase,population,intervention,results,comment,pe,pm,rf,extra,link,src,flags
Indolent Lymphoma,Mantle cell,,,,StiL NHL7-2008 MAINTAIN,Phase 2,"New MCL, post BR, multicentre phase 2",Ritux maintenance x 2 years vs observation,PFS/OS NS,Abstract form only,,,,,,Indolent Lymphoma!54,
Indolent Lymphoma,Mantle cell,,,,FIL,Phase 3,maintenance post ASCT; RCHOP induction,Len x 2 years vs observation,"3 year PFS 80 vs 64%, HR 0.51; significant heme toxicity in len arm",,,,,,,Indolent Lymphoma!55,
Indolent Lymphoma,Mantle cell,,,,MCL-R2 Elderly,Phase 3,Phase 3 maintenance,Ritux-len vs ?,Fully recruited,,,,,,,Indolent Lymphoma!56,
Indolent Lymphoma,Mantle cell,,,,TRIANGLE,Phase 3,First line; fit; consolidation/maintenance after RCHOP/RDHAP,ASCT vs ASCT+ibrutinib maintenance vs ibrutinib maintenance,FFS at 3 years: ASCT not superior to ibrutinib maintenance (72% A vs 86% I; A+I was 88%); OS 3 years 86% ASCT vs 92% with ibrutinib,,,,,,,Indolent Lymphoma!57,
Indolent Lymphoma,Mantle cell,,,,RAY,Phase 3,R/R MCL,Ibrutinib vs temsirolimus,"ORR 77 vs 47%, CR 23vs 3%, DOR 23 vs 6 mos; PFS 15.6 vs 6.2 mos, HR 0.45; OS NS (30 vs 23 mos)",,,,,,,Indolent Lymphoma!58,
Indolent Lymphoma,Mantle cell,,,,BRUIN,Phase 1/2,Post BTKi MCL,Pirtobrutinib,"ORR 58%, 12 mo DOR 57%",,,,,,,Indolent Lymphoma!59,
Indolent Lymphoma,Mantle cell,,,,ACE-LY-004,Phase 2,R/R,Acalabrutinib,"ORR 81%, CR 40%, PFS 20mos, OS 72% at 24 mos, DOR 26 mos",,,,,,,Indolent Lymphoma!60,
Indolent Lymphoma,Mantle cell,,,,Song et al,Phase 2,R/R,Zanubrutinib,"ORR 84%, 59% CR, DOR 19.5 mos",,,,,,,Indolent Lymphoma!61,
Indolent Lymphoma,Mantle cell,,,,SPRINT,Phase 2,"R/R, phase II randomized",Lenalidomide vs other single agent (choice),"PFS 8.7 vs 5.2 mos, HR 0.61","Comparators ritux, gemcitabine, fludarabine, chlorambucil, cytarabine",,,,,,Indolent Lymphoma!62,
Indolent Lymphoma,Mantle cell,,,,ZUMA-2,,R/R MCL,Brexucabtagene autoleuclel (KTE-X19),"OR 93%, CR 67%; 12 mo PFS 61%, 12 mo OS 83%;",FDA approved for multiply relapsed MCL,,,,,,Indolent Lymphoma!63,
Indolent Lymphoma,Mantle cell,,,,SYMPATICO,Phase 3,1-5 prior lines of therapy,Ibrutinib+/-Venetoclax,"PFS 32 vs 22 mos, HR 0.65; similar AEs",,,,,,,Indolent Lymphoma!64,
Indolent Lymphoma,Hairy cell leukemia,,,,HCL-PG03,Phase 2,relapsed/refractory HCL,Vemurafenib (8 weeks) + rituximab (18 weeks),"CR 87%; PFS 78% at 37 months; Of CR patients, 65% were MRD negative",,,,,,,Indolent Lymphoma!69,
Indolent Lymphoma,Hairy cell leukemia,,,,Tiacci,,Single centre report; multiply relapsed patients,Venetoclax+/- rituximab,5/6 patients responded; PFS 23->53 months,,,,,,,Indolent Lymphoma!70,
CLL,,Asymptomatic,,,CLL12,,Asymptomatic TN at higher risk for progression,Ibrutinib vs placebo vs WW,Reduced progression HR 0.276 but no OS benefit. More CLL deaths with placebo but more AEs with IBR,,,,,,,CLL!4,
CLL,,,1st line,,Alliance A041202,,1st line CLL,Ibr vs Ibr-R vs BR,"PFS 87 vs 74%, HR 0.39; OS immature but seem similar; no benefit ritux; I had higher ORR 93 vs 81% but fewer CR 7 vs 26% and MRD- 1 vs 8%",,,,,,,CLL!7,
CLL,,,1st line,,RESONATE-2,,"1st line CLL, older adults",Ibr vs chlorambucil,"2 year PFS 89 vs 34%; 5 year PFS 70 vs 12%; 2 year OS 95 vs 84%, 5 year OS 83 vs 68%, HR 0.45; higher ORR 86 vs 35%",,,,,,,CLL!8,
CLL,,,1st line,,ILLUMINATE,,"1st line CLL, older adults",Ibr-Obi vs chlor-obi,"30 mo PFS 79 vs 31%, HR 0.23; 30 mo OS similar;",,,,,,,CLL!9,
CLL,,,1st line,,ECOG-ACRIN E1912,,"1st line CLL, younger, excl del17p",Ibr-R vs FCR,"3 year PFS 89 vs 73%; 3 year OS 99 vs 92%, HR 0.17; lower MRD 8 vs 59%;","In IGHV mutated, PFS better but OS same and 50% FCR patients still off therapy at 5 years so still an option",,,,,,CLL!10,
CLL,,,1st line,,ELEVATE TN,,"1st line CLL, older/frail",Acala-obi vs acala vs chlor-obi,"48-mo PFS 87% A+O vs 78% A vs 25% chl-obi; 2-y OS 95/95 vs 92% (NS, immature); OS NR in any arm",2-y PFS 93 vs 87 vs 47%; 4-y median PFS NR for A+O and A vs 28 mo for chl-obi; trend to OS benefit A+O vs chl-obi; more adverse events with obi so despite better PFS usually not used in combination,,,,,,CLL!11,
CLL,,,1st line,,Sequoia,,"CLL, 1st line",Zanubrutinib vs BR,PFS HR 0.42; infection 16 vs 19% and HTN 6 vs 5%,Still awaits head to head comparison to other agents in CLL,,,,,,CLL!12,
CLL,,,1st line,,CLL14,,1st line CLL with comorbidities,ven-obi (12 mos) vs chlor-obi,3 year PFS 82 vs 50%; OS NS; CR 50 vs 23%;,,,,,,,CLL!13,
CLL,,,1st line,,CLL13,,"1st line CLL, 17p/TP53 negative; fit patients with CIRS<6",FCR/BR vs VR vs VO vs VO-Ibr,"15-mo MRD neg 87% VO, 92% VIO, 52% chemo; VO HR 0.42, VIO HR 0.32, VR NS; 3-y PFS 91% VIO, 88% VO, 76% chemo; OS similar at 3 y",More infection with chemo and VIO than VO; VO with or without ibrutinib was superior to chemo in first line fit patients,,,,,,CLL!14,
CLL,,,1st line,,CLL8,,1st line CLL,FCR vs FC,"5 year PFS FCR 67, 33, 15% for IGHV mut, unmut, and del17p; TRM 1-3%",,,,,,,CLL!15,
CLL,,,1st line,,CLL10,,1st line CLL,FCR vs BR,PFS 55 vs 42 mos; OS similar; FCR more toxic,,,,,,,CLL!16,
CLL,,,1st line,,Jain NEJM,Phase 2,high risk front line CLL,Ibr-Ven x 24 months,88% CR/CRi at 1 year; 63% uMRD at 1 year,,,,,,,CLL!17,
CLL,,,1st line,,CAPTIVATE,Phase 2,1st lie CLL; 2 cohorts; MRD and fixed duration,"Ibr + Ven; in MRD cohort randomized: uMRD-> ibr vs placebo; 
MRD+ -> ibr vs ibr+ven","In MRD cohort: uMRD achieved in 58% of patients by 12 cycles and 1 year DFS NS supporting fixed duration treatment (95 vs 100%); 

In FD cohort, CR 55%; 2 year PFS 95% and OS 98%",,,,,,,CLL!18,
CLL,,,1st line,,FLAIR,Phase 3,1st line CLL; duration of IBR-ven driven by MRD,IBR vs IBR-ven vs FCR,IBR-ven vs FCR: PFS HR 0.13 at 44 mo (12 vs 75 events); deaths at 3 y 9 vs 25 (HR 0.31); similar infections; cardiac AEs 11 vs 0.4%,58% of IBR-ven had stopped at 3 years due to MRD negativity,,,,,,CLL!19,
CLL,,,1st line,,GLOW,,"1st line CLL, ≥65 yo or younger with CIRS >6",Ibr+ven vs Chl-O,"42 mo PFS 75 vs 25%, HR 0.21; OS improved HR 0.49",,,,,,,CLL!20,
CLL,,,1st line,,CLL17,,1st line CLL,Obinutuzumab-venetoclax-ibrutinib vs venetoclax-ibrutinib vs ibrutinib,"3 year PFS/OS:
VO - 81%/92%
I - 81%/96%
VI - 79%/96%",uIGHV 3 year PFS - 76 vs 80 vs 79%; similar infections; more cardiac in VI and I,,,,,,CLL!21,
CLL,,,1st line,,AMPLIFY,,1st line CLL,Acala+ven+/-obin vs FCR/BR,36 mo PFS 77% vs 83% vs 67%; 36 mo OS 94% vs 88% vs 86%,Adding obinutuzumab deepened response without improving other outcomes due to greater infection / immunosuppression,,,,,,CLL!22,
CLL,,Relapsed,,,RESONATE,,R/R CLL,Ibr vs ofatumumab,"3year PFS 59 vs 3%; OS 68 vs 65 mos, HR 0.81",,,,,,,CLL!26,
CLL,,Relapsed,,,RESONATE-17,,R/R CLL with del17p,Ibr,2 year PFS and OS 63% and 75%,,,,,,,CLL!27,
CLL,,Relapsed,,,ASCEND,,R/R CLL,Acala vs (idela-R or Benda),"12 mo PFS 88 vs 68%, HR 0.31; OS immature; a-fib 5%, hemorrhage 1%",,,,,,,CLL!28,
CLL,,Relapsed,,,ELEVATE RR,Phase 3,High risk CLL (del 17p or 11q),Acala vs Ibr,"PFS 38.4 mo both arms (non-inferior); OS, infection, Richter similar; less HTN 9 vs 23%; less discontinuation 15 vs 23%","Acalabrutinib: less arthralgia, diarrhea and cardiotoxicity but more headache and cough",,,,,,CLL!29,
CLL,,Relapsed,,,ALPINE,,≥1 prior therapy; del17P/TP53 was a stratification factor,Zanubrutinib vs Ibrutinib,"ORR 86 vs 76%; 2 year PFS 78 vs 66%, HR 0.64; OS NS; lower AF (5 vs 13%), more neutropenia 28 vs 22%",,,,,,,CLL!30,
CLL,,Relapsed,,,MURANO,,R/R CLL,Ven-R (2 years) vs BR,"2 year PFS 85 vs 36%, OS 92 vs 87%; uMRD 62 vs 13%",,,,,,,CLL!31,
CLL,,Relapsed,,,Jones et al,,post BTK,Venetoclax,"12 mo PFS 75%, OS 91%l ORR 65%",,,,,,,CLL!32,
CLL,,Relapsed,,,Sharman et al,,R/R CLL,Idela-R vs R,PFS 19 vs 6.5 mos; OS 41 vs 35 mos; ≥grade 3 in 74% vs 54%,,,,,,,CLL!33,
CLL,,Relapsed,,,DUO,,R/R CLL,Duvelisib vs ofatumumab,"ORR 74 vs 45%; PFS 13.3 vs 9.9 mos, HR 0.52;",,,,,,,CLL!34,
CLL,,Relapsed,,,CLARITY,Phase 2,R/R CLL,Ibr+ven,"ORR 89%, CR 51%, uMRD at 12 mos 53% blood, 36% marrow;",,,,,,,CLL!35,
CLL,,Relapsed,,,UNITY-CLL,Phase 3,R/R CLL,Umbralisib-Ublituximab vs Chlor-Obi,"PFS 32 vs 18 mos, HR 0.55",PI3K-delta and anti-CD20 mAb,,,,,,CLL!36,
CLL,,Relapsed,,,GENUINE,Phase 3,R/R CLL with 1 of 17p-; 11q-; TP53 mut,Ibrutinib +/- ublituximab,ORR 83 vs 65%,Initially meant to also assess PFS but amended due to poor accrual,,,,,,CLL!37,
CLL,,Relapsed,,,BRUIN,Phase 1,Phase 1-2; R/R B cell cancers,Pirtobrutinib,"CLL post BTKi: ORR 73%, PFS 20 mos.",,,,,,,CLL!38,
CLL,,Relapsed,,,TRANSCEND CLL 04,Phase 1/2,R/R CLL/SLL after ≥2 lines including a BTKi; n=117 treated,Lisocabtagene,"CR/CRi 18% in primary set (BTKi progression + venetoclax failure, n=49); grade 3 CRS 9%; grade ≥3 neurological events 19%","Previously recorded: CR 20% with DOR NR and high MRD negativity; ORR 45%, DOR 35 mo in responders","CR/CRi 18% (95% CI 9-32), p=0.0006, primary efficacy set at dose level 2",37295445,,,,CLL!39,
Lung Cancer,,Adjuvant,,,KEYNOTE 091,,Resected IB-IIIA NSCLC; adjuvant platinum chemo when indicated,Pembro vs placebo,"DFS 54 vs 42 mos, HR 0.76; DFS in PDL1≥50% NS (HR 0.86); OS immature",,,,,,,Lung Cancer!4,
Lung Cancer,,Adjuvant,,,IMPOWER010,,Resected IB-IIIA NSCLC; adjuvant platinum chemo,Atezo vs placebo,DFS in II-IIIA PDL≥1 HR. 0.66; all II-IIIA DFS HR 0.79; OS NS for all comers but HR 0.71 for PDL1 >1% (mainly in PDL1>50% HR 0.43; 1-49% NS),Limited access to IO at time of relapse notable,,,,,,Lung Cancer!6,
Lung Cancer,,Adjuvant,,,NadimAdjuvant,,Resected IB-IIIA NSCLC,Chemo +/- nivo,"36 mo DFS 73 vs 60%, HR 0.65;",,,,,,,Lung Cancer!7,
Lung Cancer,,Adjuvant,,,ADAURA,,Resected EGFR mut NSCLC stage 1B-3A,Osimertinib vs placebo,"II/III 5 year OS 85 vs 73%, HR 0.49; Overall 5 year OS 88 vs 78%, HR 0.49",Lack of crossover to osimertinib at progression a concern in the control arm,,,,,,Lung Cancer!8,
Lung Cancer,,Adjuvant,,,ALINA,,"IB-IIIA alk+ NSCLC, resected",Alectinib vs chemo,DFS HR 0.24 (NE vs 44 mos); CNS DFS HR 0.22; OS immature,,,,,,,Lung Cancer!9,
Lung Cancer,,Adjuvant,,,PORT-C,,IIIA-N2 disease post surgery and adjuvant chemo,Radiation vs observation,3 year DFS NS (40 vs 32%),Suggests no role adjuvant radiation in this setting,,,,,,Lung Cancer!10,
Lung Cancer,,Adjuvant,,,LUNG ART,,"IIIA-N2, completed resected, post surgery, adjuvant or neoadjuvant chemo allowed",Radiation (mediastinal) vs observation,DFS NS (31 vs 21 mos); 3 year DFS 74 vs 44%; More toxicity with PORT,,,,,,,Lung Cancer!11,
Lung Cancer,,Neoadjuvant,,,Checkmate 816,Phase 3,resectable NSCLC,Chemo+/-nivo,"5 year OS 65 vs 55%, HR0.72 EFS 32 vs 21 mos, HR 0.63; Path CR 24% vs 2%, OR 13.9; similar grade 3/4 event rat",,,,,,,Lung Cancer!14,
Lung Cancer,,Neoadjuvant,,,Checkmate 77t,Phase 3,resectable NSCLC,Perioperative chemo +/- nivo,"24 mo EFS 70 vs 50%, HR 0.58;",,,,,,,Lung Cancer!15,
Lung Cancer,,Neoadjuvant,,,AEGEAN,Phase 3,resectable NSCLC,Neoadjuvant chemo +/- durvalumab x 4 cycles then adjuvant dura for 1 year,"Modified ITT pCR 17 vs 4%; EFS NR vs. 26 mos, HR 0.78",,,,,,,Lung Cancer!16,
Lung Cancer,,Neoadjuvant,,,Keynote 671,Phase 3,resectable NSCLC; stage 2-3B (N2),Neoadjuvant chemo +/- pembro and then adjuvant pembro x 1 year,"EFS NR vs 17 mos, HR 0.58; 2 year EFS 62 vs 40%; OS NR vs 52 mos, 36 mo OS 71 vs 64%.;",,,,,,,Lung Cancer!17,
Lung Cancer,,Neoadjuvant,,,RATIONALE-315,,"Treatment naive resectable stage II-IIIA, EGFR/ALKT wt",Chemo +/- tislelizumab (neoadjuvant and adjuvant),EFS HR 0.56; OS trend; medians NR;,,,,,,,Lung Cancer!18,
Lung Cancer,,Neoadjuvant,,,NeoADAURA,Phase 3,Stage II-III EGFRmut NSCLC,Osi vs osi+chemo vs chemo,MPR 26% vs 25% vs 2%; 12 mo EFS 93% vs 95% vs 83%,,,,,,,Lung Cancer!19,
Lung Cancer,,Locally advanced,,,LAURA,,STAGE 3 post chemoradiation,Osimertinib vs placebo,"PFS 39.1 vs 5.6 mo, HR 0.16 (0.10-0.24), p<0.001; 12-mo PFS 74 vs 22%; interim OS HR 0.81 (immature); grade >=3 AEs 35 vs 12%",,"PFS 39.1 vs 5.6 mo, HR 0.16 (95% CI 0.10-0.24), p<0.001",38828946,,,,Lung Cancer!22,
Lung Cancer,,Metastatic,,Various,SABR-COMET,Phase 2,Variety of primary tumors; up to 5 metastatic lesions; 18% had lung cancer,SBRT vs standard pall care,"OS 41 vs 28 mos, HR 0.57",NRG LU002 and SARON trials awaited to provide further evidence on radiation for oligometastatic NSCLC,,,,,,Lung Cancer!26,
Lung Cancer,,Metastatic,1st line,,KEYNOTE-024,,Untreated NSCLC PDL1≥50% subgroup,Pembro vs chemo,"PFS 10 vs 6 mos; OS 30 vs 14 mos, HR 0.63; ORR 45 vs 28%; less toxicity; longer DOR (NR vs 6 mos)",meta-analysis of 5 trials in PDL1≥50% suggests higher ORR RR 1.6 and PFS HR 0.36 but OS only trend for significance (0.76 NS); therefore chemo+pembro restricted to rapidly progressing disease where RR is important,,,,Also worth noting KEYNOTE 598 (pembro+/-ipi in 1st line PDL1≥50% was negative so no role to add ipi),,Lung Cancer!30,
Lung Cancer,,Metastatic,1st line,,KEYNOTE-024,,"1st line NSCLC, PDL1≥1%, EGFR/ALK wt",Pembro vs chemo,"OS better with pembro but driven by ≥50% group; 
in 1-49% exploratory subgroup 13.4 vs 12.1 mos, HR 0.92 (NS); 5 year OS in PDL1>50% was 32 vs 16% despite 66% crossover",Pembro single agent in <50% not as good as chemo+pembro but an acceptable alternative if declining chemo,,,,,,Lung Cancer!31,
Lung Cancer,,Metastatic,1st line,,KEYNOTE-189,,1st line nonsquamous NSCLC; PDL1 unselected; no EGFR or ALK alteration,Platinum+pemetrexed +/- pembro,"12 mo OS 69 vs 49%, HR 0.49; HR best in PDL1>50% but 0.55 and 0.59 in 1-49 and < 1% groups; med PFS 8.8 vs 4.9 mos; ORR 48 vs 19%; 5 year PFS 8 vs 0.6%; 5 year OS 19% vs 11%",,,,,,,Lung Cancer!32,
Lung Cancer,,Metastatic,1st line,,IMPOWER 150,,"1st line Advanced nonsquamous NSCLC, PDL1 unselected;",Carbo/taxol with atezo vs atezo/bev vs bev,PFS 8.3 vs 6.8 mos; OS 19.2 vs 14.7 mos favouring ABCP vs BCP,FDA approval excludes subset of EGFR or ALK mutation positive patients in this study although they seemed to have similar beenfot,,,,,,Lung Cancer!33,
Lung Cancer,,Metastatic,1st line,,IMPOWER 110,,Met squamous or nonsquamous NSCLC; PDL1≥1%,Atezo vs chemo,"In high PDL1 expression (>50%) atezo OS 20 vs 13 mos, HR 0.59",Atezo approved for PDL1≥50% NSCLC with no EGFR or ALK alterations,,,,,,Lung Cancer!34,
Lung Cancer,,Metastatic,1st line,,CheckMate-227,,"1st line NSCLC, PDL1 unselected",Nivo-ipi vs chemo,"OS 17 vs 13.9 mos; OS similar in 1-49%; In PDL1≥50% OS 21 vs 14 mos, HR 0.7; PDL1<1% also showed OS benefit with nivo-ipi 17 vs 12 mos",,,,,,,Lung Cancer!35,
Lung Cancer,,Metastatic,1st line,,CheckMate-9LA,,1st line NSCLC; only 2 cycles of chemo in the immuno-chemo arm; excluded EGFR/ALK,Chemo+/- nivo/ipi,"OS 15.6 vs 10.9 mos, HR 0.66; al PDL1 levels benefited",2 cycles chemo avoids early drop off with immunotherapy as was seen in CM227,,,,,,Lung Cancer!36,
Lung Cancer,,Metastatic,1st line,,MYSTIC,,NSCLC,Durva vs durva/tremi vs chemo,No improvement with IO vs chemo; high TMB≥20 benefited from durva/tremi in subgroup analysis,,,,,,,Lung Cancer!37,
Lung Cancer,,Metastatic,1st line,,Cisplatin vs Carboplatin meta-analysis group,,1st line NSCLC trials,Cisplatin vs carboplatin,ORR 30% vs 24%; trend to worse mortality with carbo (HR 1.07),,,,,,,Lung Cancer!38,
Lung Cancer,,Metastatic,1st line,,Ciuleanu et al,,Post 4 cycles platinum with SD or better,Pemetrexed maintenance vs BSC,PFS 4.3 vs 2.6 mos; OS 13.4 vs 10.6 mos,,,,,,,Lung Cancer!39,
Lung Cancer,,Metastatic,1st line,,PARAMOUNT,,Post 4 cycles platinum with SD or better,Pemetrexed maintenance vs BSC,"PFS 4.1 vs 2.8 mos, HR 0.62; OS 13.9 vs 11 mos",,,,,,,Lung Cancer!40,
Lung Cancer,,Metastatic,1st line,,CHECKMATE 153,,Prev treated NSCLC receiving nivo monotherapy,Nivo continuous vs 1 year,"PFS 24.7 mos vs 9.4 mos, HR 0.56; OS NR vs 32.5 mos, HR 0.62",Suggests a benefit to continuing nivo beyond 1 year,,,,,,Lung Cancer!41,
Lung Cancer,,Metastatic,1st line,,POSEIDON,,EGFR/ALK wt,Chemo+/-durva+/-tremi,"+/- durva: PFS 5.5 vs 4.8 mos, HR 0.74; OS NS 
+/-durva-tremi: PFS 6 vs 5 mos, HR 0.72, OS 14 vs 12 mos, HR 0.77)",PFS improved in both durva arms but OS increased in the dura tremi arm,,,,,,Lung Cancer!42,
Lung Cancer,,Metastatic,Later line,,Shepherd et al,,≥1 platinum regimen,Docetaxel vs BSC,PFs 10.6 vs 6.7 weeks; OS 7 vs 4.6 mos,,,,,,,Lung Cancer!45,
Lung Cancer,,Metastatic,Later line,,CheckMate 017,,"Squamous, post platinum doublet",Nivo vs docetaxel,OS 9 vs 6 mos,,,,,,,Lung Cancer!46,
Lung Cancer,,Metastatic,Later line,,CheckMate 057,,"Non-squamous, post platinum doublet",Nivo vs docetaxel,OS 12.2 vs 9.4 mos; similar OS however in PDL1-,,,,,,,Lung Cancer!47,
Lung Cancer,,Metastatic,Later line,,Keynote-010,,"NSCLC, ≥1 prev line, PDL1≥1%",Pembro (2 doses) vs docetaxel,OS 10.4/12.7 mos vs 8.5 mos,,,,,,,Lung Cancer!48,
Lung Cancer,,Metastatic,Later line,,Lung map s1800a,,"NSCLC, prev platinum+ICI",Pembro+ramucirumab vs SOC,OS 14.5 vs 11.6 mos.,,,,,,,Lung Cancer!49,
Lung Cancer,,Metastatic,Later line,,LUNAR3,,NSCLC post platinum based therapy,Doce or IO +/- tumour treating fields,"OS 13 vs 10 mos, HR 0.74; AEs 53 vs 38%;",,,,,,,Lung Cancer!50,
Lung Cancer,,Metastatic,,EGFR,FLAURA,,1st line EGFR mut adv NSCLC,Osimertinib vs gefitinib/erlotinib,"PFS 18.9 vs 10.2 mos, HR 0.46; OS 39 vs 32 mos, HR 0.8; RR 80 vs 76%",,,,,,,Lung Cancer!53,
Lung Cancer,,Metastatic,,EGFR,FLAURA2,,1st line EGFR mut adv NSCLC,Osimertinib +/-carbo-pemetrexed,"2 year PFS 57 vs 41%, HR 0.62; ORR 83 vs 76%; DOR 24 vs 15 mos; OS 48 vs 38 mos, HR 0.77",,,,,,,Lung Cancer!54,
Lung Cancer,,Metastatic,,EGFR,NEJ2009,,1st line EGFR mut NSCLC,Gefitinib+/-carbo/pem,PFS2 better with chemo+gefitinib (21 vs 33 mos) but OS NS (39 vs 48 mos),,,,,,,Lung Cancer!55,
Lung Cancer,,Metastatic,,EGFR,CHRYSALIS-2,Phase 2,EGFR mut pos osimertinib and platinum doublet,Amivantamab-lazertinib,Cohort A (exon 19/L858R) - ORR 33%; mDOR 9.6 mos; PFS 5 mos; OS 14 mos,,,,,,,Lung Cancer!56,
Lung Cancer,,Metastatic,,EGFR,MARIPOSA,Phase 3,EGFR mut first line phase 3,Amivantamab-lazertinib vs osi,"PFS 24 vs 17 mos, HR 0.7; ORR 86/85%; DOR 26 cs 17 mos; OS NR vs 37 mos, HR 0.75",,,,,,,Lung Cancer!57,
Lung Cancer,,Metastatic,,EGFR,MARIPOSA-2,Phase 3,EGFR mut post osi,Ami-laz-chemo vs chemo vs Ami-chemo,"PFS 8 vs 8 vs 4 mos (HR 0.48 and 0.44); 60% vs 36%); intracranial PFS 12.5 vs 8 mos HR 0.55; 3 year OS 60 vs 51%, HR 0.75; fewer heme AEs omitting lazertinib",,,,,,,Lung Cancer!58,
Lung Cancer,,Metastatic,,EGFR,HERTHENA-lung01,Phase 2,EGFR mut pos EGFR TKI and platinum doublet,Paritrumab-deruxtecan,"ORR 30%, DOR 6 mos, DCR 74%, OS 12 mos",,,,,,,Lung Cancer!59,
Lung Cancer,,Metastatic,,EGFR,ORIENT-31,Phase 3,EGFR mut; post EGFR TKI,platinum-pemetrexed +/- sintilimab +/ bevacizumab biosimilar,"Sintilimab-bev-chemo arm vs chemo: improved PFS 7 vs 4 mos, HR 0.42",,,,,,,Lung Cancer!60,
Lung Cancer,,Metastatic,,EGFR,KEYNOTE-789,Phase 3,EGFR mut; post EGFR TKI,Platinum+pemetrexed +/- pembro,PFS/OS NS,,,,,,,Lung Cancer!61,
Lung Cancer,,Metastatic,,EGFR,HARMONI-A,Phase 3,EGFR mut; post EGFR TKI,carbo-pem +/- ivonescimab,"PFS 7 vs 4 mos, HR 0.52; ORR 50% vs 36%; OS NS",,,,,,,Lung Cancer!62,
Lung Cancer,,Metastatic,,EGFR,ACHILLES,,"Uncommon EGFR mutations, excluding exon 20 and T790M",Afatinib vs carbo-pem,"PFS 11 vs 6 mos, HR 0.42;",Supports afatinib as standard therapy for uncommon EGFR mutations,,,,,,Lung Cancer!63,
Lung Cancer,,Metastatic,,EGFR,OptiTROP-Lung04,,mEGFR mut NSCLC post EGFR-TKI,Sacituzumab tirumotecan vs platinum-pemetrexed,"PFS 8 vs 4 mos, hR 0.49; OS HR 0.6; 18 mo OS 66 vs 48%;",,,,,,,Lung Cancer!64,
Lung Cancer,,Metastatic,,EGFR exon 20,PAPILLON,,"EGFR exon 20, 1st line platinum",carbo-pem+/-amivantamab,"PFS 11.4 vs 6.7 mos, HR 0.4; 18 mo PFS 31 vs 3%; ORR 73 vs 47%; OS HR trend 0.67",,,,,,,Lung Cancer!67,
Lung Cancer,,Metastatic,,EGFR exon 20,CHRYSALIS,,"EGFR exon 20, post 1st line platinum",amivantamab,ORR 40%; DOR 11 months,,,,,,,Lung Cancer!68,
Lung Cancer,,Metastatic,,ALK,J-ALEX,,Japanese NSCLC,Alectinib vs crizotinib,"PFS NR vs 10.2 mos, HR 0.34; OS NS; 5 year OS 60/64% NS; med OS 81 vs 54 mos (NS);",?lack of OS due to high crossover,,,,,,Lung Cancer!72,
Lung Cancer,,Metastatic,,ALK,ALEX,,1st line ALK+ NSCLC,Alectinib vs crizotinib,PFS 35 vs 11 mos; OS data not yet mature; time to CNS progression improved HR 0.16,,,,,,,Lung Cancer!73,
Lung Cancer,,Metastatic,,ALK,ALTA 1L,,1st line ALK + NSCLC,Brigatinib vs crizotinib,"PFS 24 vs 11 mos, HR 0.49; greater benefit in patients with brain mets",Comparable efficacy with alectinib;,,,,,,Lung Cancer!74,
Lung Cancer,,Metastatic,,ALK,B7461001,,ALK+ 2nd line after prev ALK inhibitor,Lorlatinib,"ORR post criz 73%, PFS 11.1 mos, DOR NR; post 2nd gen ALKi ORR 40%, PFS 6.9 mos, DOR 7 mos",,,,,,,Lung Cancer!75,
Lung Cancer,,Metastatic,,ALK,CROWN,,1st line ALK+ NSCLC,Lorlatinib vs crizotinib,"12 month PFS 78 vs 39%, HR 0.28; ORR 76 vs 58%; intracranial response in 82 vs 23%; more grade 3/4 events (mainly lipids); OS NS (HR 0.72) at interim",,,,,,,Lung Cancer!76,
Lung Cancer,,Metastatic,,ROS1,PROFILE 1001,,ROS1 NSCLC patients,Crizotinib,ORR 72%; DOR 17.6 Year mos; PFS 19 mos; OS 51 mos,,,,,,,Lung Cancer!79,
Lung Cancer,,Metastatic,,ROS1,Drilon et al,Phase 1/2,Analysis 3 phase 1/2 trials,Entrectinib,"ORR 77%; DOR 24.6 mos,;",,,,,,,Lung Cancer!80,
Lung Cancer,,Metastatic,,HER2,DESTINY-Lung01,Phase 2,Metastatic HER2+ NSCLC refractory to standard treatment,TDXd,ORR 55%; DOR 9.3 mos; mPFS 8 mos; OS 18 mos; ILD 26% incl 2 deaths,,,,,,,Lung Cancer!83,
Lung Cancer,,Metastatic,,HER2,DESTINY-Lung02,Phase 2,Metastatic HER2+ NSCLC refractory to standard treatment,TDXd 5.4 vs 6.4 mg/kg dosing,ORR 49% and 56%; grade 3 events in 39% and 58%; ILD in 13% and 28% (2% g≥3 in each arm),Safety favours the 5.4 mg/kg dosing; efficacy similar,,,,,,Lung Cancer!84,
Lung Cancer,,Metastatic,,BRAF,Planchard et al,,Pretreated BRAFV600E NSCLC,Dabrafenib+trametinib,ORR 63%; DCR 79%; PFS 9.7 mos,,,,,,,Lung Cancer!87,
Lung Cancer,,Metastatic,,BRAF,PHAROS,Phase 2,Phase II BRAF V600E,Encorafenib-binimetinib,"ORR 75%, DCR 64% at 24 weeks;",,,,,,,Lung Cancer!88,
Lung Cancer,,Metastatic,,MET,GEOMETRY-mono-1,,MET exon 14 skipping mutation patients,Capmatinib,ORR 41%; PFS 5.4 months;,,,,,,,Lung Cancer!91,
Lung Cancer,,Metastatic,,MET,Drilon et al,,MET exon 14 skipping mutation patients,Crizotinib,"ORR 32%, PFS 7.3 mos, DOR 9 mos",,,,,,,Lung Cancer!92,
